t_yr,body,a_au,e
260.0,TRAPPIST-1 h,0.0617456280289209,0.03291136043541598
260.0,TRAPPIST-1 e moon (safe),0.00013443156390314953,0.06908973376705593
260.0,TRAPPIST-1 g moon (risky),-6.263055872316592e-07,160238.69537905036
280.0,TRAPPIST-1 b,0.01153966973004584,0.008789298973994154
280.0,TRAPPIST-1 c,0.015794773079116853,0.005975291668808543
280.0,TRAPPIST-1 d,0.02224093393637345,0.017415448342833692
280.0,TRAPPIST-1 e,0.029143809576619033,0.018004328934512596
280.0,TRAPPIST-1 f,0.03842713622870047,0.007468761490152724
280.0,TRAPPIST-1 g,0.047028194891040556,0.009147152907553925
280.0,TRAPPIST-1 h,0.061959932235387094,0.030536680877452555
280.0,TRAPPIST-1 e moon (safe),0.0001341290455585442,0.05074895135636049
280.0,TRAPPIST-1 g moon (risky),-3.371582398813845e-06,8256.384180815501
300.0,TRAPPIST-1 b,0.011537240665654034,0.007220322339362039
300.0,TRAPPIST-1 c,0.015798389619720177,0.010059537893994795
300.0,TRAPPIST-1 d,0.02223817901522227,0.02521422152276448
300.0,TRAPPIST-1 e,0.029192778652519152,0.014395242146532603
300.0,TRAPPIST-1 f,0.03849047229261445,0.016047598016553293
300.0,TRAPPIST-1 g,0.046986205948629095,0.007415022856959771
300.0,TRAPPIST-1 h,0.06207119144269563,0.02531679888064768
300.0,TRAPPIST-1 e moon (safe),0.00013326111314419242,0.06249003008863608
300.0,TRAPPIST-1 g moon (risky),-7.876678116982666e-05,55.120232561324016
320.0,TRAPPIST-1 b,0.011536331611709208,0.00892725022906701
320.0,TRAPPIST-1 c,0.01580372381060293,0.006933884757348034
320.0,TRAPPIST-1 d,0.022258988718113448,0.01912412518272506
320.0,TRAPPIST-1 e,0.029225238384955134,0.021525350935238316
320.0,TRAPPIST-1 f,0.03854044418653152,0.013889579321523958
320.0,TRAPPIST-1 g,0.046971425005894664,0.014846860114129725
320.0,TRAPPIST-1 h,0.06208350029869683,0.028207039000008607
320.0,TRAPPIST-1 e moon (safe),0.00013472151748990596,0.07232280241085727
320.0,TRAPPIST-1 g moon (risky),-1.6801291855818183e-05,987.5789822732255
340.0,TRAPPIST-1 b,0.011536950697082236,0.007468685829606115
340.0,TRAPPIST-1 c,0.015802496019211982,0.009446943074503156
340.0,TRAPPIST-1 d,0.022219361199412986,0.0353909596532873
